louisville/jefferson county metro.KY	0.48	0	0.0
kansas city.MO	0.41	1	0.0005221833404506922
columbus.OH	0.88	4	0.0005524628684181507
atlanta.GA	0.71	4	0.00125797208358671
berlin.	13.0	5	1.0989010989010989e-05
indianapolis.IN	0.42	11	0.003123770902642
sacramento.CA	2.06	4	0.00040480820662819594
buffalo.NY	1.24	0	0.0
singapore.singapore	1.0	23	0.0004339622641509434
tampa.FL	1.52	3	0.0005591474358467781
portland.OR	6.52	23	0.0005772232214151381
phoenix.AZ	0.72	3	0.0002753273642360767
cincinnati.OH	0.67	2	0.0010033931746988793
austin.TX	1.36	10	0.0008304513901922361
jacksonville.FL	0.5	3	0.0007120917933794453
anchorage.AK	1.23	0	0.0
bakersfield.CA	0.56	0	0.0
houston.TX	0.7	16	0.001040202662684771
new york.NY	1.15	85	0.0008792891206074337
santa ana.CA	1.31	0	0.0
raleigh.NC	0.3	6	0.004630733716603728
boston.MA	2.18	150	0.0015290519877675841
newark.NJ	0.4	0	0.0
san antonio.TX	0.33	5	0.0010753381938619696
fort worth.TX	0.22	2	0.0011446782933167156
philadelphia.PA	2.09	15	0.00046209085916969336
seattle.WA	3.58	24	0.0010275310592455487
las vegas.NV	0.54	2	0.0006136785889074527
stockton.CA	0.68	0	0.0
washington.DC	4.21	47	0.0016943411884685173
plano.TX	0.04	0	0.0
mesa.AZ	0.81	0	0.0
san jose.CA	1.01	12	0.0011898869839393218
melbourne.victoria	1.5	9	0.00015
toledo.OH	0.21	0	0.0
wichita.KS	0.33	5	0.003919596839676103
corpus christi.TX	0.13	1	0.0024312816476892976
miami.FL	0.96	9	0.00224459501520339
el paso.TX	0.2	0	0.0
montreal.QC	1.3	4	0.0001923076923076923
san diego.CA	1.08	9	0.0006146047292604706
Copenhagen.	26.0	0	0.0
anaheim.CA	0.65	0	0.0
san francisco.CA	4.11	37	0.0010749918310789678
london.london	2.0	32	0.00018823529411764707
stockholm.sweden	10.0	4	5.069554284787282e-05
new york city.NY	1.15	0	0.0
lexington-fayette county.KY	0.92	0	0.0
charlotte.NC	0.32	2	0.0007882963843052083
minneapolis.MN	4.19	8	0.0004772327155124332
virginia beach.VA	0.55	1	0.00040541069217997234
chicago.IL	1.54	41	0.0009792365874430353
cleveland.OH	0.54	1	0.0004747047858407335
st. louis.MO	1.0	1	0.00031405457012210445
milwaukee.WI	1.07	0	0.0
detroit.MI	0.68	4	0.0008540745333763787
denver.CO	2.24	11	0.0007596445018422622
st. paul.MN	1.65	0	0.0
dallas.TX	0.26	5	0.001529071814264503
los angeles.CA	1.26	33	0.0006742580770600975
omaha.NE	0.31	1	0.0007426693154215358
arlington.TX	0.13	0	0.0
aurora.CO	0.26	0	0.0
albuquerque.NM	1.7	4	0.0004228189912955311
toronto.ON	2.0	33	0.0006346153846153846
oakland.CA	3.32	14	0.00103805436106805
long beach.CA	1.18	10	0.0018054676493417842
riverside.CA	0.72	0	0.0
fresno.CA	1.07	1	0.00018326344734488376
memphis.TN	0.32	2	0.0009564618563011707
nashville-davidson metro.TN	0.31	0	0.0
tucson.AZ	3.44	3	0.0001657527208972146
colorado springs.CO	0.69	7	0.002306409690452802
new orleans.LA	3.47	8	0.0006087626590768168
vancouver.BC	1.7	8	0.0007797650957649009
baltimore.MD	0.72	8	0.0017860536359051078
pittsburgh.PA	2.14	4	0.0006111597899883836
tulsa.OK	0.34	0	0.0
honolulu.HI	2.17	8	0.0010596613303844018
oklahoma city.OK	0.22	0	0.0
